"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.657894736842105,0.613086770981508,0.124276397743094,0.170346336805996,0.393867331476383,0.235955056179775,"K.4"
"H.euclidean.ward.D",0.815789473684211,0.677098150782361,0.298936417911759,0.33242364748723,0.534142731778609,0.34393063583815,"H.euclidean.ward.D"
"H.euclidean.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.single"
"H.euclidean.complete",0.894736842105263,0.376955903271693,0.0531549815498155,0.0646174596695476,0.474729041477459,0.248713550600343,"H.euclidean.complete"
"H.euclidean.average",0.894736842105263,0.34850640113798,0.00992004920049197,0.0219059281476091,0.441989107582462,0.227655986509275,"H.euclidean.average"
"H.euclidean.mcquitty",0.894736842105263,0.34850640113798,0.00992004920049197,0.0219059281476091,0.441989107582462,0.227655986509275,"H.euclidean.mcquitty"
"H.euclidean.median",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.median"
"H.euclidean.centroid",0.736842105263158,0.881934566145092,0.619695360008343,0.657773006064898,0.709855172088045,0.522988505747126,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.842105263157895,0.732574679943101,0.410739763161649,0.439889740775281,0.610733517989512,0.416149068322981,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.710526315789474,0.738264580369844,0.340350447749016,0.38378187822957,0.51995426509313,0.347517730496454,"H.maximum.ward.D"
"H.maximum.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.single"
"H.maximum.complete",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.complete"
"H.maximum.average",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.average"
"H.maximum.mcquitty",0.868421052631579,0.375533428165007,0.0162002429080106,0.0312131307882752,0.434498624305276,0.227112676056338,"H.maximum.mcquitty"
"H.maximum.median",0.368421052631579,0.79800853485064,0.228022147983173,0.326501386096987,0.386015279347126,0.169590643274854,"H.maximum.median"
"H.maximum.centroid",0.631578947368421,0.832147937411095,0.458015366924524,0.512480401020864,0.572342212803385,0.382198952879581,"H.maximum.centroid"
"H.maximum.ward.D2",0.842105263157895,0.738264580369844,0.409605009721855,0.440427951644834,0.602672153382807,0.412140575079872,"H.maximum.ward.D2"
"H.manhattan.ward.D",0.815789473684211,0.789473684210526,0.463320025172026,0.499442555065254,0.608124824084835,0.432950191570881,"H.manhattan.ward.D"
