"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"H.minkowski.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.complete"
"H.minkowski.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.average"
"H.minkowski.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.mcquitty"
"H.minkowski.median",0.736842105263158,0.489331436699858,0.0275726015574128,0.0601208218204498,0.379740418136706,0.210989010989011,"H.minkowski.median"
"H.minkowski.centroid",0.815789473684211,0.432432432432432,0.0350880814043489,0.0565522390992514,0.422903755608861,0.228239845261122,"H.minkowski.centroid"
"H.minkowski.ward.D2",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.ward.D2"
"H.correlation.ward.D",0.842105263157895,0.796586059743954,0.484411141712697,0.518733976600009,0.625159147213321,0.45,"H.correlation.ward.D"
"H.correlation.single",0.921052631578947,0.644381223328592,0.307983682983683,0.332712256652545,0.577007065833246,0.363867684478371,"H.correlation.single"
"H.correlation.complete",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.correlation.complete"
"H.correlation.average",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.correlation.average"
"H.correlation.mcquitty",0.868421052631579,0.816500711237553,0.534888372593972,0.565850929939869,0.662561831234631,0.490118577075099,"H.correlation.mcquitty"
"H.correlation.median",0.789473684210526,0.795163584637269,0.475818645015638,0.511359684166001,0.616477452664113,0.441860465116279,"H.correlation.median"
"H.correlation.centroid",0.868421052631579,0.691322901849218,0.355048598280986,0.38306149932665,0.587331918508108,0.385269121813031,"H.correlation.centroid"
"H.correlation.ward.D2",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.correlation.ward.D2"
"H.uncentered.ward.D",0.763157894736842,0.812233285917496,0.502290207352263,0.538331863937142,0.628333203574486,0.45679012345679,"H.uncentered.ward.D"
"H.uncentered.single",0.868421052631579,0.567567567567568,0.193837750567715,0.219065103999886,0.508378594337648,0.301149425287356,"H.uncentered.single"
"H.uncentered.complete",0.763157894736842,0.832147937411095,0.544193764629603,0.57867563424163,0.655250928081273,0.48695652173913,"H.uncentered.complete"
"H.uncentered.average",0.789473684210526,0.694167852062589,0.322751204211941,0.356644921709866,0.545195131501978,0.356287425149701,"H.uncentered.average"
"H.uncentered.mcquitty",0.763157894736842,0.832147937411095,0.544193764629603,0.57867563424163,0.655250928081273,0.48695652173913,"H.uncentered.mcquitty"
"H.uncentered.median",0.710526315789474,0.708392603129445,0.274670464897402,0.321210731483605,0.475106761846613,0.307432432432432,"H.uncentered.median"
"H.uncentered.centroid",0.789473684210526,0.691322901849218,0.309564650665991,0.34492620311912,0.532464473273291,0.346385542168675,"H.uncentered.centroid"
"H.uncentered.ward.D2",0.763157894736842,0.812233285917496,0.502290207352263,0.538331863937142,0.628333203574486,0.45679012345679,"H.uncentered.ward.D2"
"SNN.euclidean.3",0.289473684210526,0.712660028449502,0.00464014355005998,0.115550218923213,0.157705143290604,0.0776255707762557,"SNN.euclidean.3"
"SNN.euclidean.4",0.473684210526316,0.638691322901849,0.0307132776028661,0.102455927408698,0.270400891998808,0.156146179401993,"SNN.euclidean.4"
"SNN.euclidean.5",0.526315789473684,0.611664295874822,0.0447751536719508,0.104722885874947,0.30908951833312,0.18018018018018,"SNN.euclidean.5"
"SNN.euclidean.6",0.552631578947368,0.621621621621622,0.064083442608182,0.123474482670488,0.321524177787446,0.189024390243902,"SNN.euclidean.6"
"SNN.euclidean.7",0.526315789473684,0.611664295874822,0.0447751536719508,0.104722885874947,0.30908951833312,0.18018018018018,"SNN.euclidean.7"
"SNN.euclidean.8",0.684210526315789,0.510668563300142,0.0307956203209415,0.0672465205014383,0.369187469308088,0.207373271889401,"SNN.euclidean.8"
"SNN.euclidean.9",0.684210526315789,0.510668563300142,0.0307956203209415,0.0672465205014383,0.369187469308088,0.207373271889401,"SNN.euclidean.9"
"SNN.maximum.3",0.263157894736842,0.712660028449502,-0.000563674027309969,0.111758042315797,0.150595322299571,0.073394495412844,"SNN.maximum.3"
"SNN.maximum.4",0.447368421052632,0.644381223328592,0.0182990180197292,0.0947571140555885,0.251501515001784,0.143835616438356,"SNN.maximum.4"
"SNN.maximum.5",0.5,0.598862019914651,0.022310992750407,0.0825425149376808,0.295549314988821,0.170588235294118,"SNN.maximum.5"
"SNN.maximum.6",0.5,0.598862019914651,0.022310992750407,0.0825425149376808,0.295549314988821,0.170588235294118,"SNN.maximum.6"
"SNN.maximum.7",0.5,0.588904694167852,0.0107125292768556,0.0700934995944489,0.291189022858558,0.167146974063401,"SNN.maximum.7"
"SNN.maximum.8",0.684210526315789,0.510668563300142,0.0307956203209415,0.0672465205014383,0.369187469308088,0.207373271889401,"SNN.maximum.8"
"SNN.maximum.9",0.657894736842105,0.492176386913229,0.00745091060093744,0.0433785378671477,0.356529603349301,0.197752808988764,"SNN.maximum.9"
"SNN.manhattan.3",0.342105263157895,0.722617354196302,0.0658539410830735,0.165787758487883,0.22422126298183,0.117647058823529,"SNN.manhattan.3"
"SNN.manhattan.4",0.473684210526316,0.638691322901849,0.0307132776028661,0.102455927408698,0.270400891998808,0.156146179401993,"SNN.manhattan.4"
"SNN.manhattan.5",0.552631578947368,0.621621621621622,0.064083442608182,0.123474482670488,0.321524177787446,0.189024390243902,"SNN.manhattan.5"
"SNN.manhattan.6",0.552631578947368,0.621621621621622,0.064083442608182,0.123474482670488,0.321524177787446,0.189024390243902,"SNN.manhattan.6"
"SNN.manhattan.7",0.526315789473684,0.611664295874822,0.0447751536719508,0.104722885874947,0.30908951833312,0.18018018018018,"SNN.manhattan.7"
"SNN.manhattan.8",0.552631578947368,0.621621621621622,0.064083442608182,0.123474482670488,0.321524177787446,0.189024390243902,"SNN.manhattan.8"
"SNN.manhattan.9",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.manhattan.9"
"SNN.canberra.3",0.394736842105263,0.685633001422475,0.060109256559326,0.143842893169502,0.257687827897904,0.146718146718147,"SNN.canberra.3"
"SNN.canberra.4",0.447368421052632,0.64153627311522,0.0265832939547456,0.100222540922803,0.263270462175511,0.151515151515152,"SNN.canberra.4"
"SNN.canberra.5",0.526315789473684,0.617354196301565,0.0587711221163179,0.11784049926872,0.319392502277557,0.187311178247734,"SNN.canberra.5"
"SNN.canberra.6",0.526315789473684,0.621621621621622,0.064083442608182,0.123474482670488,0.321524177787446,0.189024390243902,"SNN.canberra.6"
"SNN.canberra.7",0.526315789473684,0.617354196301565,0.0587711221163179,0.11784049926872,0.319392502277557,0.187311178247734,"SNN.canberra.7"
"SNN.canberra.8",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.canberra.8"
"SNN.canberra.9",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.canberra.9"
"SNN.binary.3",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.3"
"SNN.binary.4",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.4"
"SNN.binary.5",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.5"
"SNN.binary.6",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.6"
"SNN.binary.7",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.7"
"SNN.binary.8",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.8"
"SNN.binary.9",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.9"
"SNN.minkowski.3",0.289473684210526,0.712660028449502,0.00464014355005998,0.115550218923213,0.157705143290604,0.0776255707762557,"SNN.minkowski.3"
"SNN.minkowski.4",0.473684210526316,0.638691322901849,0.0307132776028661,0.102455927408698,0.270400891998808,0.156146179401993,"SNN.minkowski.4"
"SNN.minkowski.5",0.526315789473684,0.611664295874822,0.0447751536719508,0.104722885874947,0.30908951833312,0.18018018018018,"SNN.minkowski.5"
"SNN.minkowski.6",0.552631578947368,0.621621621621622,0.064083442608182,0.123474482670488,0.321524177787446,0.189024390243902,"SNN.minkowski.6"
"SNN.minkowski.7",0.526315789473684,0.611664295874822,0.0447751536719508,0.104722885874947,0.30908951833312,0.18018018018018,"SNN.minkowski.7"
"SNN.minkowski.8",0.684210526315789,0.510668563300142,0.0307956203209415,0.0672465205014383,0.369187469308088,0.207373271889401,"SNN.minkowski.8"
"SNN.minkowski.9",0.684210526315789,0.510668563300142,0.0307956203209415,0.0672465205014383,0.369187469308088,0.207373271889401,"SNN.minkowski.9"
