"Resample","GLMNet~Accuracy","GLMNet~Kappa","kNN~Accuracy","kNN~Kappa","NNet~Accuracy","NNet~Kappa","NNet.Multinom~Accuracy","NNet.Multinom~Kappa","Rand.Forest~Accuracy","Rand.Forest~Kappa","SVM.Radial~Accuracy","SVM.Radial~Kappa","SVM.Linear~Accuracy","SVM.Linear~Kappa"
"Fold1",0.96,0.955830388692579,0.52,0.473684210526316,0.84,0.82363315696649,0.76,0.736842105263158,0.88,0.867724867724868,0.8,0.779541446208113,0.92,0.911816578483245
"Fold2",0.777777777777778,0.754545454545455,0.555555555555556,0.509833585476551,0.777777777777778,0.754545454545455,0.851851851851852,0.836115326251897,0.703703703703704,0.673716012084592,0.666666666666667,0.632930513595166,0.740740740740741,0.714069591527988
"Fold3",0.88,0.867021276595745,0.72,0.688057040998217,0.8,0.77797513321492,0.84,0.823008849557522,0.88,0.867021276595745,0.8,0.778368794326241,0.84,0.822695035460993
"Fold4",0.84,0.823321554770318,0.72,0.691358024691358,0.84,0.823008849557522,0.84,0.823008849557522,0.8,0.779151943462898,0.8,0.779151943462898,0.8,0.779151943462898
"Fold5",0.791666666666667,0.770114942528736,0.666666666666667,0.63147792706334,0.791666666666667,0.770114942528736,0.708333333333333,0.677543186180422,0.875,0.862068965517241,0.916666666666667,0.908045977011494,0.833333333333333,0.816091954022989
