"Resample","GLMNet~Accuracy","GLMNet~Kappa","kNN~Accuracy","kNN~Kappa","NNet~Accuracy","NNet~Kappa","NNet.Multinom~Accuracy","NNet.Multinom~Kappa","Rand.Forest~Accuracy","Rand.Forest~Kappa","SVM.Radial~Accuracy","SVM.Radial~Kappa","SVM.Linear~Accuracy","SVM.Linear~Kappa"
"Fold1",1,1,0.875,0.833333333333333,0.25,0,0.25,0,0.875,0.833333333333333,0.75,0.666666666666667,0.875,0.833333333333333
"Fold2",0.888888888888889,0.85,0.777777777777778,0.7,0.222222222222222,0,0.222222222222222,0,0.888888888888889,0.85,0.666666666666667,0.564516129032258,0.777777777777778,0.704918032786885
"Fold3",0.666666666666667,0.52,0.666666666666667,0.5,0.666666666666667,0.5,0.333333333333333,0,0.833333333333333,0.76,0.666666666666667,0.5,0.833333333333333,0.76
"Fold4",1,1,1,1,0.25,0,0.25,0,1,1,1,1,1,1
"Fold5",1,1,1,1,0.285714285714286,0,0.285714285714286,0,1,1,1,1,1,1
