"Resample","GLMNet~Accuracy","GLMNet~Kappa","kNN~Accuracy","kNN~Kappa","NNet~Accuracy","NNet~Kappa","NNet.Multinom~Accuracy","NNet.Multinom~Kappa","Rand.Forest~Accuracy","Rand.Forest~Kappa","SVM.Radial~Accuracy","SVM.Radial~Kappa","SVM.Linear~Accuracy","SVM.Linear~Kappa"
"Fold1",0.5,0.333333333333333,0.25,0,0.375,0.166666666666667,0.375,0.166666666666667,0.5,0.333333333333333,0.25,0,0.25,0
"Fold2",0.444444444444444,0.23728813559322,0.333333333333333,0.0689655172413793,0.444444444444444,0.23728813559322,0.444444444444444,0.23728813559322,0.444444444444444,0.23728813559322,0.222222222222222,0,0.333333333333333,0.114754098360656
"Fold3",0.166666666666667,-0.2,0.666666666666667,0.5,0.666666666666667,0.5,0.5,0.25,0.666666666666667,0.5,0.666666666666667,0.5,0.5,0.25
"Fold4",0.5,0.255813953488372,0.625,0.428571428571429,0.5,0.272727272727273,0.375,0.0697674418604651,0.625,0.428571428571429,0.25,0,0.25,0
"Fold5",0.285714285714286,0.0277777777777778,0.571428571428571,0.4,0.428571428571429,0.2,0.428571428571429,0.2,0.571428571428571,0.416666666666667,0.285714285714286,0,0,-0.4
