,Purity,Rand,HA,MA,FM,Jaccard,Clustering
H.manhattan.median,0.325396825,0.92431746,0.234770989,0.331329746,0.353470587,0.146131805,H.manhattan.median
H.euclidean.centroid,0.333333333,0.91631746,0.217908772,0.309198959,0.296221902,0.141927083,H.euclidean.centroid
H.minkowski.centroid,0.333333333,0.91631746,0.217908772,0.309198959,0.296221902,0.141927083,H.minkowski.centroid
SNN.euclidean.3,0.349206349,0.903746032,0.198833667,0.281965349,0.260090097,0.138636364,SNN.euclidean.3
SNN.minkowski.3,0.349206349,0.903746032,0.198833667,0.281965349,0.260090097,0.138636364,SNN.minkowski.3
SNN.maximum.9,0.880952381,0.547047619,0.106960082,0.119336563,0.338831979,0.135272727,SNN.maximum.9
H.manhattan.centroid,0.317460317,0.920634921,0.210133307,0.308264519,0.310806239,0.131944444,H.manhattan.centroid
H.euclidean.median,0.301587302,0.919238095,0.200415461,0.299244857,0.2956824,0.126373626,H.euclidean.median
H.minkowski.median,0.301587302,0.919238095,0.200415461,0.299244857,0.2956824,0.126373626,H.minkowski.median
SNN.maximum.3,0.341269841,0.904126984,0.173803471,0.262645421,0.236350208,0.121071013,SNN.maximum.3
H.manhattan.single,0.928571429,0.25168254,0.019963466,0.023335652,0.293965437,0.09435992,H.manhattan.single
H.canberra.single,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.canberra.single
H.canberra.median,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.canberra.median
H.binary.ward.D,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.ward.D
H.binary.single,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.single
H.binary.complete,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.complete
H.binary.average,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.average
H.binary.mcquitty,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.mcquitty
H.binary.median,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.median
H.binary.centroid,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.centroid
H.binary.ward.D2,0.928571429,0.227555556,0.018900004,0.021658635,0.297412917,0.094117647,H.binary.ward.D2
H.maximum.single,0.904761905,0.258793651,0.014069905,0.017783975,0.283030233,0.091234626,H.maximum.single
H.euclidean.single,0.896825397,0.254730159,0.008664772,0.012399204,0.275302445,0.088523063,H.euclidean.single
H.minkowski.single,0.896825397,0.254730159,0.008664772,0.012399204,0.275302445,0.088523063,H.minkowski.single
H.correlation.single,0.896825397,0.254730159,0.008664772,0.012399204,0.275302445,0.088523063,H.correlation.single
H.uncentered.single,0.896825397,0.254730159,0.008664772,0.012399204,0.275302445,0.088523063,H.uncentered.single
SNN.binary.3,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.3
SNN.binary.4,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.4
SNN.binary.5,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.5
SNN.binary.6,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.6
SNN.binary.7,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.7
SNN.binary.8,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.8
SNN.binary.9,1,0.085968254,0,0,0.293203434,0.085968254,SNN.binary.9
,,,,,,TRUE,
H.manhattan.centroid,1,0.085968254,0,0,0.293203434,0.085968254,H.manhattan.centroid
