"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"Cell.Type",1,1,1,1,1,1,"Cell.Type"
"K.4",0.789473684210526,0.650071123755334,0.228946711371094,0.267089767184676,0.478559846185812,0.299145299145299,"K.4"
"H.euclidean.ward.D",0.921052631578947,0.80796586059744,0.541191485658759,0.568323338972692,0.682124088310069,0.503676470588235,"H.euclidean.ward.D"
"H.euclidean.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.euclidean.single"
"H.euclidean.complete",0.868421052631579,0.652916073968706,0.295787831513261,0.32409972299169,0.553996261682467,0.351063829787234,"H.euclidean.complete"
"H.euclidean.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.average"
"H.euclidean.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.euclidean.mcquitty"
"H.euclidean.median",0.315789473684211,0.758179231863442,0.116364012776529,0.222465760366912,0.252457797976288,0.119170984455959,"H.euclidean.median"
"H.euclidean.centroid",0.526315789473684,0.812233285917496,0.356262833675565,0.426935889264368,0.48721859598493,0.290322580645161,"H.euclidean.centroid"
"H.euclidean.ward.D2",0.842105263157895,0.792318634423898,0.482457467299993,0.515787926393444,0.627936693218379,0.451127819548872,"H.euclidean.ward.D2"
"H.maximum.ward.D",0.894736842105263,0.786628733997155,0.491125459651967,0.521105834284047,0.645943295853153,0.464285714285714,"H.maximum.ward.D"
"H.maximum.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.maximum.single"
"H.maximum.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.maximum.complete"
"H.maximum.average",0.868421052631579,0.375533428165007,0.0162002429080106,0.0312131307882752,0.434498624305276,0.227112676056338,"H.maximum.average"
"H.maximum.mcquitty",0.868421052631579,0.375533428165007,0.0162002429080106,0.0312131307882752,0.434498624305276,0.227112676056338,"H.maximum.mcquitty"
"H.maximum.median",0.5,0.738264580369844,0.190203713673983,0.266397923684356,0.353112459150968,0.210300429184549,"H.maximum.median"
"H.maximum.centroid",0.578947368421053,0.731152204836415,0.246909521677275,0.307073579444473,0.422067691220806,0.267441860465116,"H.maximum.centroid"
"H.maximum.ward.D2",0.894736842105263,0.786628733997155,0.491125459651967,0.521105834284047,0.645943295853153,0.464285714285714,"H.maximum.ward.D2"
