"Resample","GLMNet~Accuracy","GLMNet~Kappa","kNN~Accuracy","kNN~Kappa","NNet~Accuracy","NNet~Kappa","NNet.Multinom~Accuracy","NNet.Multinom~Kappa","Rand.Forest~Accuracy","Rand.Forest~Kappa","SVM.Radial~Accuracy","SVM.Radial~Kappa","SVM.Linear~Accuracy","SVM.Linear~Kappa"
"Fold1",0.92,0.911504424778761,0.4,0.340949033391916,0.52,0.467140319715808,0.72,0.689716312056738,0.96,0.955673758865248,0.96,0.955595026642984,0.96,0.955595026642984
"Fold2",0.814814814814815,0.79607250755287,0.62962962962963,0.591527987897126,0.407407407407407,0.339449541284404,0.666666666666667,0.631818181818182,0.814814814814815,0.795763993948563,0.814814814814815,0.79607250755287,0.777777777777778,0.754916792738275
"Fold3",0.8,0.777580071174377,0.56,0.513274336283186,0.44,0.379432624113475,0.44,0.377224199288256,0.8,0.777580071174377,0.8,0.777183600713013,0.88,0.866785079928952
"Fold4",0.92,0.911504424778761,0.64,0.603174603174603,0.52,0.469026548672566,0.48,0.429824561403509,0.84,0.82363315696649,0.88,0.867256637168142,0.88,0.867256637168142
"Fold5",0.875,0.862068965517241,0.541666666666667,0.494252873563218,0.291666666666667,0.222857142857143,0.416666666666667,0.36,0.875,0.862068965517241,0.833333333333333,0.816091954022989,0.875,0.862068965517241
