"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"H.minkowski.average",0.921052631578947,0.324324324324324,0.0104254644488106,0.0192966502525036,0.455012691646709,0.231391585760518,"H.minkowski.average"
"H.minkowski.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.mcquitty"
"H.minkowski.median",0.421052631578947,0.785206258890469,0.225742689802557,0.316981794033254,0.366296404377388,0.188172043010753,"H.minkowski.median"
"H.minkowski.centroid",0.473684210526316,0.779516358463727,0.238214752619915,0.322783661119516,0.377659695241375,0.209183673469388,"H.minkowski.centroid"
"H.minkowski.ward.D2",0.921052631578947,0.772403982930299,0.50015553481758,0.52469120563524,0.67676953204534,0.482200647249191,"H.minkowski.ward.D2"
"H.correlation.ward.D",0.842105263157895,0.86628733997155,0.627795113268973,0.657208085420181,0.715164649609126,0.556603773584906,"H.correlation.ward.D"
"H.correlation.single",0.921052631578947,0.312944523470839,-0.00624105404468311,0.00277954120412471,0.442285063908339,0.223472668810289,"H.correlation.single"
"H.correlation.complete",0.842105263157895,0.874822190611664,0.658685145543222,0.684694252280329,0.741381725776493,0.588785046728972,"H.correlation.complete"
"H.correlation.average",0.921052631578947,0.923186344238976,0.787070067981423,0.803774724445115,0.837349397590361,0.72020725388601,"H.correlation.average"
"H.correlation.mcquitty",0.921052631578947,0.806543385490754,0.548324310023905,0.573763944958111,0.693684532350035,0.512544802867383,"H.correlation.mcquitty"
"H.correlation.median",0.421052631578947,0.803698435277383,0.278738494937029,0.365997683800603,0.42570517920081,0.215909090909091,"H.correlation.median"
"H.correlation.centroid",0.473684210526316,0.786628733997155,0.283238172920065,0.359633873771597,0.419986286385969,0.246231155778894,"H.correlation.centroid"
"H.correlation.ward.D2",0.815789473684211,0.849217638691323,0.580279595813948,0.613447415473821,0.678800345391713,0.513761467889908,"H.correlation.ward.D2"
"H.uncentered.ward.D",0.868421052631579,0.894736842105263,0.71180544014182,0.733926952918796,0.781188180518561,0.640776699029126,"H.uncentered.ward.D"
"H.uncentered.single",0.947368421052632,0.631578947368421,0.300443761406205,0.323652172655001,0.579973043112265,0.362068965517241,"H.uncentered.single"
"H.uncentered.complete",0.894736842105263,0.857752489331437,0.635985170149748,0.660666447337501,0.73544678563438,0.576271186440678,"H.uncentered.complete"
"H.uncentered.average",0.842105263157895,0.829302987197724,0.563182204179698,0.592799736805001,0.68136981610244,0.51219512195122,"H.uncentered.average"
"H.uncentered.mcquitty",0.947368421052632,0.849217638691323,0.6351699354725,0.657314288272959,0.74774181857187,0.582677165354331,"H.uncentered.mcquitty"
"H.uncentered.median",0.526315789473684,0.83072546230441,0.396357522711365,0.466433992026133,0.535544816004177,0.308139534883721,"H.uncentered.median"
"H.uncentered.centroid",0.894736842105263,0.699857752489331,0.36491225065614,0.393393273817582,0.590370227199434,0.390173410404624,"H.uncentered.centroid"
"H.uncentered.ward.D2",0.789473684210526,0.84352773826458,0.575095882281833,0.607239998021858,0.678652746941318,0.513274336283186,"H.uncentered.ward.D2"
"SNN.euclidean.3",0.578947368421053,0.802275960170697,0.398038575503139,0.453250814474215,0.524873520720423,0.350467289719626,"SNN.euclidean.3"
"SNN.euclidean.4",0.921052631578947,0.817923186344239,0.565760392236346,0.59134364525572,0.700600036271497,0.524163568773234,"SNN.euclidean.4"
"SNN.euclidean.5",0.894736842105263,0.79800853485064,0.513034400671233,0.542373032664685,0.659065795647757,0.47985347985348,"SNN.euclidean.5"
"SNN.euclidean.6",0.868421052631579,0.780938833570412,0.468031369157593,0.500561479791219,0.624084129686683,0.444043321299639,"SNN.euclidean.6"
"SNN.euclidean.7",0.815789473684211,0.57325746799431,0.154763622372914,0.186552198111719,0.459433295138954,0.271844660194175,"SNN.euclidean.7"
"SNN.euclidean.8",0.815789473684211,0.57325746799431,0.154763622372914,0.186552198111719,0.459433295138954,0.271844660194175,"SNN.euclidean.8"
"SNN.euclidean.9",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.euclidean.9"
"SNN.maximum.3",0.421052631578947,0.773826458036984,0.230530409940454,0.314073684587899,0.371492357581568,0.208955223880597,"SNN.maximum.3"
"SNN.maximum.4",0.710526315789474,0.61877667140825,0.168245671349232,0.208443444467171,0.437594479727206,0.265753424657534,"SNN.maximum.4"
"SNN.maximum.5",0.947368421052632,0.475106685633001,0.153036936910464,0.167781838628057,0.528757117950948,0.294455066921606,"SNN.maximum.5"
"SNN.maximum.6",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.maximum.6"
"SNN.maximum.7",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.maximum.7"
"SNN.maximum.8",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.maximum.8"
"SNN.maximum.9",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.maximum.9"
