"","Purity","Rand","HA","MA","FM","Jaccard","Clustering"
"H.minkowski.complete",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.complete"
"H.minkowski.average",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.average"
"H.minkowski.mcquitty",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.mcquitty"
"H.minkowski.median",0.684210526315789,0.60597439544808,0.11270134189962,0.158847923553806,0.387065232983844,0.230555555555556,"H.minkowski.median"
"H.minkowski.centroid",0.631578947368421,0.564722617354196,0.0344966876716756,0.0830033619723571,0.335031621712626,0.192612137203166,"H.minkowski.centroid"
"H.minkowski.ward.D2",0.894736842105263,0.342816500711238,0.00127306273062727,0.0133636218432214,0.435441120803462,0.223529411764706,"H.minkowski.ward.D2"
"H.correlation.ward.D",0.842105263157895,0.796586059743954,0.484411141712697,0.518733976600009,0.625159147213321,0.45,"H.correlation.ward.D"
"H.correlation.single",0.921052631578947,0.644381223328592,0.307983682983683,0.332712256652545,0.577007065833246,0.363867684478371,"H.correlation.single"
"H.correlation.complete",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.correlation.complete"
"H.correlation.average",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.correlation.average"
"H.correlation.mcquitty",0.868421052631579,0.816500711237553,0.534888372593972,0.565850929939869,0.662561831234631,0.490118577075099,"H.correlation.mcquitty"
"H.correlation.median",0.789473684210526,0.795163584637269,0.475818645015638,0.511359684166001,0.616477452664113,0.441860465116279,"H.correlation.median"
"H.correlation.centroid",0.868421052631579,0.691322901849218,0.355048598280986,0.38306149932665,0.587331918508108,0.385269121813031,"H.correlation.centroid"
"H.correlation.ward.D2",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.correlation.ward.D2"
"H.uncentered.ward.D",0.842105263157895,0.796586059743954,0.484411141712697,0.518733976600009,0.625159147213321,0.45,"H.uncentered.ward.D"
"H.uncentered.single",0.842105263157895,0.593172119487909,0.208333333333333,0.236622821610511,0.504376805798292,0.304136253041363,"H.uncentered.single"
"H.uncentered.complete",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.uncentered.complete"
"H.uncentered.average",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.uncentered.average"
"H.uncentered.mcquitty",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.uncentered.mcquitty"
"H.uncentered.median",0.789473684210526,0.795163584637269,0.475818645015638,0.511359684166001,0.616477452664113,0.441860465116279,"H.uncentered.median"
"H.uncentered.centroid",0.868421052631579,0.691322901849218,0.355048598280986,0.38306149932665,0.587331918508108,0.385269121813031,"H.uncentered.centroid"
"H.uncentered.ward.D2",0.815789473684211,0.802275960170697,0.498833207678776,0.53219596326854,0.635845628362267,0.461240310077519,"H.uncentered.ward.D2"
"SNN.euclidean.3",0.315789473684211,0.739687055476529,0.0717094676989905,0.179474122191447,0.212197002567693,0.102941176470588,"SNN.euclidean.3"
"SNN.euclidean.4",0.368421052631579,0.695590327169274,0.0493396524486574,0.140103070980955,0.234685859539543,0.130081300813008,"SNN.euclidean.4"
"SNN.euclidean.5",0.473684210526316,0.638691322901849,0.0384590531167881,0.108598648714334,0.278859576771994,0.161716171617162,"SNN.euclidean.5"
"SNN.euclidean.6",0.578947368421053,0.627311522048364,0.0815681346736876,0.139420408534644,0.335586972418699,0.198776758409786,"SNN.euclidean.6"
"SNN.euclidean.7",0.578947368421053,0.610241820768137,0.0603621534078714,0.116973316550166,0.32701737951988,0.191740412979351,"SNN.euclidean.7"
"SNN.euclidean.8",0.657894736842105,0.51778093883357,0.0348373353204898,0.0722186422046169,0.368707867243402,0.207943925233645,"SNN.euclidean.8"
"SNN.euclidean.9",0.684210526315789,0.510668563300142,0.0307956203209415,0.0672465205014383,0.369187469308088,0.207373271889401,"SNN.euclidean.9"
"SNN.maximum.3",0.315789473684211,0.736842105263158,0.0615642159798538,0.170506626259114,0.202092383397803,0.0975609756097561,"SNN.maximum.3"
"SNN.maximum.4",0.368421052631579,0.691322901849218,0.0471815371162673,0.13650643180741,0.23679196690029,0.132,"SNN.maximum.4"
"SNN.maximum.5",0.578947368421053,0.627311522048364,0.0815681346736876,0.139420408534644,0.335586972418699,0.198776758409786,"SNN.maximum.5"
"SNN.maximum.6",0.578947368421053,0.627311522048364,0.0815681346736876,0.139420408534644,0.335586972418699,0.198776758409786,"SNN.maximum.6"
"SNN.maximum.7",0.578947368421053,0.601706970128023,0.0466873304920573,0.103272682108924,0.319314210879099,0.186046511627907,"SNN.maximum.7"
"SNN.maximum.8",0.526315789473684,0.607396870554765,0.0324916227860221,0.0934352395250444,0.299446836927455,0.173652694610778,"SNN.maximum.8"
"SNN.maximum.9",0.684210526315789,0.510668563300142,0.0307956203209415,0.0672465205014383,0.369187469308088,0.207373271889401,"SNN.maximum.9"
"SNN.manhattan.3",0.289473684210526,0.726884779516358,0.0338153185397276,0.14472921114004,0.177428187604744,0.0857142857142857,"SNN.manhattan.3"
"SNN.manhattan.4",0.421052631578947,0.682788051209104,0.0516034579761525,0.136094865053388,0.250906569269012,0.142307692307692,"SNN.manhattan.4"
"SNN.manhattan.5",0.578947368421053,0.627311522048364,0.0815681346736876,0.139420408534644,0.335586972418699,0.198776758409786,"SNN.manhattan.5"
"SNN.manhattan.6",0.578947368421053,0.610241820768137,0.0603621534078714,0.116973316550166,0.32701737951988,0.191740412979351,"SNN.manhattan.6"
"SNN.manhattan.7",0.578947368421053,0.610241820768137,0.0603621534078714,0.116973316550166,0.32701737951988,0.191740412979351,"SNN.manhattan.7"
"SNN.manhattan.8",0.578947368421053,0.610241820768137,0.0603621534078714,0.116973316550166,0.32701737951988,0.191740412979351,"SNN.manhattan.8"
"SNN.manhattan.9",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.manhattan.9"
"SNN.canberra.3",0.394736842105263,0.7524893314367,0.155782848151062,0.24778156996587,0.302703942163199,0.163461538461538,"SNN.canberra.3"
"SNN.canberra.4",0.578947368421053,0.647226173541963,0.127416141980561,0.18278823948226,0.368197042304979,0.22257053291536,"SNN.canberra.4"
"SNN.canberra.5",0.736842105263158,0.466571834992888,0.0365674941801185,0.0636477448003485,0.403793710405225,0.221991701244813,"SNN.canberra.5"
"SNN.canberra.6",0.736842105263158,0.466571834992888,0.0365674941801185,0.0636477448003485,0.403793710405225,0.221991701244813,"SNN.canberra.6"
"SNN.canberra.7",0.736842105263158,0.466571834992888,0.0365674941801185,0.0636477448003485,0.403793710405225,0.221991701244813,"SNN.canberra.7"
"SNN.canberra.8",0.710526315789474,0.487908961593172,0.0532836557884814,0.0821061553130628,0.408308860528508,0.227467811158798,"SNN.canberra.8"
"SNN.canberra.9",0.710526315789474,0.487908961593172,0.0532836557884814,0.0821061553130628,0.408308860528508,0.227467811158798,"SNN.canberra.9"
"SNN.binary.3",0.578947368421053,0.694167852062589,0.203598809178808,0.25940592169922,0.409208421243247,0.256055363321799,"SNN.binary.3"
"SNN.binary.4",0.631578947368421,0.615931721194879,0.096959893429754,0.148592342834182,0.361807366790129,0.215116279069767,"SNN.binary.4"
"SNN.binary.5",0.789473684210526,0.446657183499289,0.0520121606677967,0.0737911975570023,0.432849287045133,0.235756385068762,"SNN.binary.5"
"SNN.binary.6",0.815789473684211,0.436699857752489,0.0626792905146059,0.0816432724119102,0.450648355928518,0.244274809160305,"SNN.binary.6"
"SNN.binary.7",0.789473684210526,0.446657183499289,0.0520121606677967,0.0737911975570023,0.432849287045133,0.235756385068762,"SNN.binary.7"
"SNN.binary.8",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.8"
"SNN.binary.9",1,0.236130867709815,0,0,0.485932986850877,0.236130867709815,"SNN.binary.9"
"SNN.minkowski.3",0.315789473684211,0.739687055476529,0.0717094676989905,0.179474122191447,0.212197002567693,0.102941176470588,"SNN.minkowski.3"
"SNN.minkowski.4",0.368421052631579,0.695590327169274,0.0493396524486574,0.140103070980955,0.234685859539543,0.130081300813008,"SNN.minkowski.4"
"SNN.minkowski.5",0.473684210526316,0.638691322901849,0.0384590531167881,0.108598648714334,0.278859576771994,0.161716171617162,"SNN.minkowski.5"
"SNN.minkowski.6",0.578947368421053,0.627311522048364,0.0815681346736876,0.139420408534644,0.335586972418699,0.198776758409786,"SNN.minkowski.6"
"SNN.minkowski.7",0.578947368421053,0.610241820768137,0.0603621534078714,0.116973316550166,0.32701737951988,0.191740412979351,"SNN.minkowski.7"
"SNN.minkowski.8",0.657894736842105,0.51778093883357,0.0348373353204898,0.0722186422046169,0.368707867243402,0.207943925233645,"SNN.minkowski.8"
"SNN.minkowski.9",0.684210526315789,0.510668563300142,0.0307956203209415,0.0672465205014383,0.369187469308088,0.207373271889401,"SNN.minkowski.9"
