"Resample","GLMNet~Accuracy","GLMNet~Kappa","kNN~Accuracy","kNN~Kappa","LDA~Accuracy","LDA~Kappa","NNet~Accuracy","NNet~Kappa","NNet.Multinom~Accuracy","NNet.Multinom~Kappa","Rand.Forest~Accuracy","Rand.Forest~Kappa","SVM.Radial~Accuracy","SVM.Radial~Kappa","SVM.Linear~Accuracy","SVM.Linear~Kappa"
"Fold1",0.76,0.734513274336283,0.32,0.247787610619469,0.6,0.558303886925795,0.28,0.213286713286713,0.48,0.428822495606327,0.64,0.603174603174603,0.8,0.779151943462898,0.56,0.508928571428572
"Fold2",0.62962962962963,0.589041095890411,0.222222222222222,0.144796380090498,0.592592592592593,0.549317147192716,0.37037037037037,0.302431610942249,0.481481481481481,0.427272727272727,0.62962962962963,0.590288315629742,0.62962962962963,0.590288315629742,0.666666666666667,0.631259484066768
"Fold3",0.68,0.64349376114082,0.36,0.293286219081272,0.64,0.599644128113879,0.28,0.193548387096774,0.56,0.511545293072824,0.64,0.598930481283422,0.6,0.55595026642984,0.64,0.599644128113879
"Fold4",0.52,0.471830985915493,0.32,0.249116607773852,0.4,0.342105263157895,0.28,0.204946996466431,0.6,0.559082892416226,0.48,0.426807760141093,0.56,0.515845070422535,0.44,0.384885764499121
"Fold5",0.708333333333333,0.67816091954023,0.291666666666667,0.222857142857143,0.5,0.451428571428571,0.5,0.44721689059501,0.666666666666667,0.63147792706334,0.416666666666667,0.358778625954198,0.541666666666667,0.493282149712092,0.583333333333333,0.541984732824427
