1	3	1.5
1	4	2
1	6	1.5
1	10	2.5
1	70	1.5
1	73	0.5
1	76	1
1	120	1.5
1	123	1.5
2	5	2
2	8	2.5
2	9	2
3	4	2.5
3	6	2.5
3	10	2
3	73	1
3	120	1
4	7	2.5
4	10	2.5
4	63	1.5
4	64	1
4	68	2
4	70	1.5
4	71	1
4	73	1.5
4	78	1
4	80	0.5
4	95	0.5
4	96	1.5
4	101	2
5	8	2.5
5	9	2
6	10	2
6	73	0.5
6	74	1.5
6	77	0.5
6	84	0.5
6	120	1
7	68	2.5
7	69	1.5
7	71	1.5
7	92	1.5
7	95	2
7	99	2.5
7	100	1.5
7	101	1.5
7	102	1
8	9	2.5
10	67	0.5
10	73	1
10	76	0.5
10	90	0.5
10	97	1.5
10	120	2
10	123	0.5
11	12	1.5
11	13	0.5
11	15	2.5
11	16	0.5
11	17	2
11	18	2.5
11	19	2
11	20	1.5
11	21	1.5
11	22	1.5
11	24	1
12	13	1
12	15	2.5
12	16	1
12	17	1.5
12	18	2
12	19	1.5
12	20	2
12	21	2
12	22	2
12	24	1
12	26	1.5
12	28	1
12	31	1.5
13	14	2
13	15	1.5
13	16	2.5
13	20	1
13	21	1
13	22	2
14	16	2.5
14	20	0.5
14	22	1.5
15	16	1.5
15	17	1.5
15	18	1.5
15	19	1
15	20	2.5
15	21	2.5
15	22	2.5
15	26	0.5
15	31	0.5
16	20	1
16	21	1
16	22	2
17	18	2.5
17	19	2
17	20	0.5
17	21	2
17	24	1
17	64	1
17	65	1.5
17	79	1
17	106	1
18	19	2.5
18	21	1.5
18	24	1.5
19	21	1
19	24	1
19	64	0.5
19	65	0.5
19	92	1.5
19	106	2
20	21	2
20	22	2
21	22	2
23	25	2
23	27	2.5
23	29	2
23	30	2.5
23	32	2
23	33	1
24	26	1.5
24	28	2
24	31	2.5
24	33	1.5
24	49	0.5
24	103	1
24	105	1
24	107	1.5
24	108	2
25	27	1
25	29	1
25	30	2.5
25	32	2
25	33	1.5
26	28	2.5
26	31	2
26	33	1.5
27	29	2.5
27	30	1.5
27	32	1
28	30	0.5
28	31	2.5
28	32	1
28	33	2
29	30	1.5
29	32	1
30	32	2.5
30	33	2
31	33	1
32	33	2.5
34	35	0.5
34	36	2.5
34	41	2.5
34	42	1
34	44	1
34	46	1
34	109	1.5
35	38	1.5
35	39	2.5
35	40	2
35	41	1.5
35	42	0.5
35	43	2
35	44	0.5
35	45	1.5
35	46	1.5
35	109	0.5
36	41	2
36	103	2
36	106	0.5
36	107	1.5
36	108	1
37	42	2.5
37	63	2.5
37	71	1
37	78	1.5
37	87	0.5
37	90	1
37	91	1.5
37	96	1.5
37	97	1
38	39	2
38	40	1.5
38	43	1.5
38	45	2.5
38	46	1.5
39	40	2.5
39	41	1
39	43	2.5
39	45	2
39	46	1.5
40	41	2
40	43	2
