"Resample","GLMNet~Accuracy","GLMNet~Kappa","kNN~Accuracy","kNN~Kappa","LDA~Accuracy","LDA~Kappa","NNet~Accuracy","NNet~Kappa","NNet.Multinom~Accuracy","NNet.Multinom~Kappa","Rand.Forest~Accuracy","Rand.Forest~Kappa","SVM.Radial~Accuracy","SVM.Radial~Kappa","SVM.Linear~Accuracy","SVM.Linear~Kappa"
"Fold1",0.92,0.911504424778761,0.84,0.823321554770318,0.92,0.911190053285968,0.96,0.955595026642984,0.92,0.911504424778761,0.96,0.955673758865248,0.96,0.955595026642984,0.96,0.955595026642984
"Fold2",0.814814814814815,0.79607250755287,0.777777777777778,0.754545454545455,0.740740740740741,0.714069591527988,0.740740740740741,0.713636363636364,0.777777777777778,0.754916792738275,0.814814814814815,0.795763993948563,0.814814814814815,0.79607250755287,0.777777777777778,0.754916792738275
"Fold3",0.8,0.777580071174377,0.8,0.778368794326241,0.72,0.689716312056738,0.88,0.866548042704626,0.8,0.777183600713013,0.8,0.777580071174377,0.8,0.777183600713013,0.88,0.866785079928952
"Fold4",0.92,0.911504424778761,0.84,0.82363315696649,0.88,0.867256637168142,0.92,0.911504424778761,0.92,0.911504424778761,0.84,0.82363315696649,0.88,0.867256637168142,0.88,0.867256637168142
"Fold5",0.875,0.862068965517241,0.833333333333333,0.816443594646272,0.833333333333333,0.816443594646272,0.833333333333333,0.816091954022989,0.833333333333333,0.816091954022989,0.875,0.862068965517241,0.833333333333333,0.816091954022989,0.875,0.862068965517241
