"","Method","Distance","KL","CH","Hartigan","CCC","Scott","Marriot","TrCovW","TraceW","Friedman","Rubin","Cindex","DB","Silhouette","Duda","PseudoT2","Beale","Ratkowsky","Ball","PtBiserial","Frey","McClain","Dunn","Hubert","SDindex","Dindex","SDbw"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","mcquitty","euclidean",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"47","mcquitty","maximum",2,2,3,4,-Inf,3,3,24,21,3,2,2,8,8,8,3,3,2,2,2,2,0,2,0,32,2
"48","mcquitty","manhattan",12,2,3,2,-Inf,3,3,30,12,11,2,2,11,11,11,3,3,2,4,2,2,0,12,0,32,12
"49","mcquitty","canberra",5,5,4,2,-Inf,5,5,30,5,26,2,24,9,9,9,5,3,6,1,2,31,0,10,0,32,5
"50","mcquitty","binary",26,5,5,2,-Inf,5,5,30,5,32,32,32,2,2,6,5,3,10,2,32,32,0,4,0,32,26
"51","mcquitty","minkowski",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","median","euclidean",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"56","median","maximum",2,2,3,4,-Inf,3,3,24,21,3,2,2,8,8,8,3,3,2,2,2,2,0,2,0,32,2
"57","median","manhattan",12,2,3,2,-Inf,3,3,30,12,11,2,2,11,11,11,3,3,2,4,2,2,0,12,0,32,12
"58","median","canberra",5,5,4,2,-Inf,5,5,30,5,26,2,24,9,9,9,5,3,6,1,2,31,0,10,0,32,5
"59","median","binary",26,5,5,2,-Inf,5,5,30,5,32,32,32,2,2,6,5,3,10,2,32,32,0,4,0,32,26
"60","median","minkowski",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","centroid","euclidean",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"65","centroid","maximum",2,2,3,4,-Inf,3,3,24,21,3,2,2,8,8,8,3,3,2,2,2,2,0,2,0,32,2
"66","centroid","manhattan",12,2,3,2,-Inf,3,3,30,12,11,2,2,11,11,11,3,3,2,4,2,2,0,12,0,32,12
"67","centroid","canberra",5,5,4,2,-Inf,5,5,30,5,26,2,24,9,9,9,5,3,6,1,2,31,0,10,0,32,5
"68","centroid","binary",26,5,5,2,-Inf,5,5,30,5,32,32,32,2,2,6,5,3,10,2,32,32,0,4,0,32,26
"69","centroid","minkowski",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","kmeans","euclidean",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
"74","kmeans","maximum",2,2,3,4,-Inf,3,3,24,21,3,2,2,8,8,8,3,3,2,2,2,2,0,2,0,32,2
"75","kmeans","manhattan",12,2,3,2,-Inf,3,3,30,12,11,2,2,11,11,11,3,3,2,4,2,2,0,12,0,32,12
"76","kmeans","canberra",5,5,4,2,-Inf,5,5,30,5,26,2,24,9,9,9,5,3,6,1,2,31,0,10,0,32,5
"77","kmeans","binary",26,5,5,2,-Inf,5,5,30,5,32,32,32,2,2,6,5,3,10,2,32,32,0,4,0,32,26
"78","kmeans","minkowski",2,2,6,2,-Inf,3,4,31,19,3,2,2,6,6,6,3,3,2,2,2,2,0,7,0,32,2
