"Resample","GLMNet~Accuracy","GLMNet~Kappa","kNN~Accuracy","kNN~Kappa","LDA~Accuracy","LDA~Kappa","NNet~Accuracy","NNet~Kappa","NNet.Multinom~Accuracy","NNet.Multinom~Kappa","Rand.Forest~Accuracy","Rand.Forest~Kappa","SVM.Radial~Accuracy","SVM.Radial~Kappa","SVM.Linear~Accuracy","SVM.Linear~Kappa"
"Fold1",0.76,0.734513274336283,0.56,0.514991181657848,0.6,0.558303886925795,0.6,0.556737588652482,0.48,0.428822495606327,0.64,0.603174603174603,0.8,0.779151943462898,0.56,0.508928571428572
"Fold2",0.62962962962963,0.589041095890411,0.185185185185185,0.0958904109589041,0.592592592592593,0.549317147192716,0.555555555555556,0.506849315068493,0.666666666666667,0.632375189107413,0.62962962962963,0.590288315629742,0.62962962962963,0.590288315629742,0.666666666666667,0.631259484066768
"Fold3",0.68,0.64349376114082,0.52,0.469964664310954,0.64,0.599644128113879,0.68,0.642857142857143,0.6,0.553571428571429,0.64,0.598930481283422,0.6,0.55595026642984,0.64,0.599644128113879
"Fold4",0.52,0.471830985915493,0.56,0.512411347517731,0.4,0.342105263157895,0.52,0.470899470899471,0.64,0.604569420035149,0.52,0.470899470899471,0.56,0.515845070422535,0.44,0.384885764499121
"Fold5",0.666666666666667,0.632887189292543,0.5,0.449330783938814,0.5,0.451428571428571,0.625,0.586998087954111,0.708333333333333,0.677543186180422,0.416666666666667,0.358778625954198,0.541666666666667,0.493282149712092,0.583333333333333,0.541984732824427
