id,GM.25,GM.26,GM.27,GM.29,GM.30,GM.31,GM.33,GM.34,GM.37,GM.38,GM.39,LP.01,LP.02,LP.03,LP.04,LP.06,LP.07,LP.08,LP.09,PD.10,PD.11,PD.12,PD.13,PD.14,PD.15,PD.16,PD.21,PD.22,PD.23,PD.24,VD.51,VD.52,VD.53,VD.54,VD.55,VD.56,VD.57,VD.58
c13253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13255,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c13256,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
c13257,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13258,1,0,1,0,6,0,0,1,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2
c13259,1,0,1,0,5,0,0,6,0,0,4,0,0,0,14,4,3,0,0,0,0,2,0,0,0,0,4,1,0,1,1,6,0,6,0,2,0,0
c13260,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c13261,8,7,10,1,29,0,13,6,5,8,8,0,0,1,7,0,6,2,6,10,1,10,0,4,0,6,8,1,1,17,22,9,8,0,0,2,0,13
c13262,14,19,4,15,53,9,27,6,3,9,23,4,0,11,27,0,21,11,14,19,28,20,0,13,0,14,42,13,13,18,45,21,0,44,2,5,15,11
c13263,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c13264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13265,2,3,0,3,2,6,3,0,1,1,3,0,0,0,9,0,0,0,1,1,4,3,0,1,0,1,2,0,0,0,8,2,0,0,9,1,0,4
c13266,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,6,0,0,0
c13267,0,2,1,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,11,1,0,2,0,0,0,0
c13268,2,1,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0
c13269,1,0,0,0,9,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,0
c13270,5,3,0,0,7,0,0,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,7,0,0,3,0,12,0,0,0,1
c13271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
c13272,8,7,13,0,18,0,1,9,1,3,15,0,1,0,0,0,9,9,5,0,3,6,0,1,0,0,3,0,1,0,21,0,0,38,0,6,0,2
c13273,13,0,3,0,21,10,16,4,6,6,14,1,0,2,4,0,5,5,4,20,21,11,0,10,0,2,5,1,7,12,18,9,0,10,10,4,15,5
c13274,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c13276,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
c13277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13279,3,3,2,0,4,0,3,1,0,6,7,0,0,1,0,0,3,1,4,1,5,2,0,0,0,5,1,1,0,0,5,1,0,9,0,11,0,1
c13280_fragment1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c13280_fragment2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13281,1,1,1,0,2,0,0,0,0,3,4,0,0,0,8,0,2,0,2,0,1,2,0,2,0,0,0,0,2,8,0,3,0,18,0,3,12,4
c13282,0,1,2,0,6,0,0,0,0,2,2,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,1
c13283,2,0,0,1,2,9,3,8,3,1,2,0,0,1,0,0,2,1,0,1,1,3,0,2,0,0,0,11,4,0,6,2,0,0,0,1,0,4
c13284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
c13285,25,2,7,4,36,6,8,7,13,6,15,0,0,7,26,0,5,6,7,7,9,0,0,4,0,3,7,4,5,2,28,11,0,0,21,4,0,12
c13286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c13287,0,0,0,0,6,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,2,0,0,0,2,1,0,4,0,0,0,3
c13288,20,15,8,27,56,49,11,12,4,8,17,24,0,4,27,0,9,3,13,10,25,12,0,11,0,3,24,8,18,15,72,6,11,4,49,9,12,13
c13289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,4,0,0,1,0,0,2,3,1,3,0,0,0,0,0,0,0,0,0,0
c13290,6,4,12,1,24,0,6,0,8,4,7,2,0,0,0,0,3,0,3,9,9,7,0,4,0,4,1,5,12,2,2,2,0,1,0,5,0,0
c13291,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13292,6,2,2,0,16,0,3,7,1,1,1,0,0,0,1,0,1,0,3,0,2,0,0,4,0,0,3,1,0,0,7,2,0,0,5,0,0,0
c13293,24,15,15,14,37,0,18,6,18,12,22,0,0,4,3,0,26,11,14,8,8,9,0,15,0,4,8,10,32,10,46,18,26,7,10,5,0,5
c13294,0,0,0,0,3,0,0,1,2,0,3,0,0,0,0,0,1,0,5,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1
c13295,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,1,6,0,0,6,0
c13296,0,1,0,2,0,11,0,6,0,1,3,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,1,0,0,4,2,0,0,4,3,0,0
c13297,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c13298,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,26,0
c13299,0,1,0,1,0,0,0,0,0,0,0,0,0,3,4,0,3,0,2,1,0,0,0,0,0,0,0,1,1,0,4,1,0,0,11,5,0,2
c13300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13302,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13303,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
c13304,0,0,6,0,2,0,0,1,0,0,7,1,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1
c13305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
c13306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13307,1,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,5,0,0,1,0,2,1,0,0,0,9,2,0,0,0,0,6,1
c13308,0,0,0,0,5,32,1,4,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,4,0,1,2,0,0,0,1,0,0
c13309_fragment1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13309_fragment2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
c13311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
c13312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
c13313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13314,2,1,6,0,4,0,0,3,1,2,2,0,0,0,0,0,1,2,13,1,4,1,0,0,0,0,0,9,0,0,13,3,0,0,0,0,0,5
c13315,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
c13316,3,0,1,0,6,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
c13317,3,3,1,0,8,0,6,2,2,3,2,0,0,3,0,0,2,3,1,2,3,1,0,1,0,0,2,1,1,0,11,3,0,0,0,0,0,6
c13318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13319,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
c13320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13321,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13322,5,3,2,2,19,16,22,1,4,1,2,0,0,0,2,0,8,1,6,6,3,0,0,0,0,1,2,0,2,11,13,1,0,11,0,11,0,0
c13323,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
c13324,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2
c13325,4,0,0,0,8,3,0,0,0,2,0,0,10,0,6,3,2,1,0,0,1,0,4,0,11,0,1,4,0,0,0,0,0,0,0,0,0,0
c13326,6,10,4,1,51,17,7,8,11,6,5,0,0,2,24,0,5,2,4,4,7,10,0,2,0,4,31,1,2,9,32,12,0,22,8,3,0,13
c13327,19,10,297,290,388,2337,302,139,219,121,182,2034,11780,154,925,1595,132,151,66,13,31,281,12747,67,28734,193,446,247,321,697,460,127,3329,1539,992,168,2854,263
c13328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
c13329,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13330,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
c13331,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,5
c13332,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,3,0,0,0,0,0,0,1
c13333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
c13335,5,2,6,0,15,0,5,4,2,5,2,10,0,0,5,0,4,0,5,2,1,24,0,0,0,4,22,3,17,10,18,2,0,2,0,4,28,4
c13336,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
c13337,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
c13338,2,0,3,2,1,0,1,0,2,1,8,0,0,0,3,0,2,2,4,5,2,0,0,1,0,3,6,0,4,2,16,0,0,0,9,3,0,2
c13339,2,7,6,0,8,0,0,3,0,1,0,0,0,0,0,0,0,0,6,0,4,3,0,0,0,4,0,0,1,1,9,0,0,0,0,1,0,0
c13340,0,0,0,0,0,10,1,3,3,0,0,0,0,2,0,0,0,0,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,1
c13341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13342,2,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,8
c13343,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,13,6,8,0,0,0
c13344,1,0,4,0,0,0,4,5,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,0,0,0,1,0,1
c13345_fragment1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13345_fragment2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,3,0,0
c13346,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0
c13347,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
c13348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c13349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
c13350,8,8,7,10,26,29,17,4,6,6,12,0,0,2,8,0,11,4,9,0,2,9,0,3,0,5,1,3,4,0,19,6,0,4,0,2,11,8
c13351,1,1,2,5,0,0,1,0,1,2,0,16,0,1,0,0,1,2,2,0,4,6,0,5,0,8,1,2,5,4,19,1,0,4,0,2,0,4
c13352,0,1,1,0,2,0,0,0,1,1,0,0,0,1,4,0,1,1,12,0,5,0,0,4,0,1,0,0,1,0,0,2,0,1,0,0,0,0
c13353,3,0,0,0,11,5,0,1,1,1,1,0,0,1,11,0,2,2,1,0,2,0,0,1,0,0,10,4,3,1,5,1,0,0,0,1,0,2
c13354,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c13355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13357,2,0,0,3,2,1,10,1,0,6,0,0,0,0,0,0,6,1,1,1,6,3,0,4,0,5,5,0,1,6,12,1,12,11,0,1,0,2
c13358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13359,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13360,3,2,0,0,1,0,0,4,0,3,2,0,0,0,0,0,3,0,2,0,1,0,0,3,0,1,0,0,0,0,13,1,0,0,0,7,0,5
c13361,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
c13362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
c13364,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
c13365,2,2,0,1,18,0,0,0,0,1,0,0,0,1,8,6,0,3,10,4,0,3,0,0,0,0,3,7,0,2,3,0,0,7,0,4,0,2
c13366,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,12,0,10,13,0,0,0,0,0,0,0,2,5,0,0,16,3,0,0,0,0,0,0
c13367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13369,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
c13370,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13371,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
c13372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13373,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13374,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,2,0,1,0,3
c13375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
c13377,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13378,6,1,1,1,24,0,4,2,3,2,1,0,0,0,9,0,2,4,2,1,5,0,0,0,0,1,3,4,0,9,10,5,0,11,0,0,0,0
c13379,1,0,8,1,0,0,9,1,0,2,6,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0
c13380,2,0,1,0,2,0,0,0,1,2,2,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1
c13381,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
c13382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13383,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,2,6,0,0,0,0,0,0,3
c13384,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0
c13385,1,4,6,3,9,0,1,2,4,5,1,0,0,0,0,0,1,1,4,0,3,3,0,1,0,3,0,7,0,0,18,0,0,0,0,6,15,2
c13386,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
c13387,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
c13388,0,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13389,2,0,2,0,1,0,2,3,0,0,2,0,0,4,6,0,4,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,5,0,2,0,0
c13390,3,2,1,3,18,0,0,1,0,5,2,0,0,3,0,0,1,2,1,2,2,2,0,0,0,0,0,1,2,0,0,1,0,9,0,5,9,4
c13391,0,3,2,2,9,0,0,0,0,1,3,0,0,1,0,0,1,5,1,0,1,5,0,0,0,0,0,0,4,0,9,1,0,0,0,2,0,3
c13392,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,4,0,0,5,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0
c13393,2,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
c13394,1,0,0,1,0,0,0,2,0,2,0,13,0,0,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
c13395,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c13397,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
c13398,6,3,0,0,5,0,3,4,0,2,2,0,0,0,2,0,0,2,3,5,7,1,34,0,0,5,3,0,4,0,2,3,0,0,0,1,0,0
c13399,4,1,0,0,3,8,2,1,13,3,1,17,0,0,3,0,1,0,0,1,3,3,0,2,0,2,0,1,0,6,7,8,0,7,0,0,0,0
c13400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
c13401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0
c13402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13403,3,2,3,7,1,0,1,1,4,5,3,0,0,2,3,0,1,1,6,3,2,1,0,2,0,1,6,2,5,4,13,3,0,9,0,6,22,5
c13404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13405,2,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13406,2,1,2,0,0,0,3,5,1,4,4,0,0,1,2,0,4,1,3,2,4,1,0,2,0,1,11,1,2,0,9,1,0,0,0,5,0,3
c13407,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0
c13408,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
c13409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13410,3,1,0,0,5,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,4,2,0,7,5,0,11,0,0,0,0
c13411,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c13412,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c13413,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0
c13414,2,1,2,0,4,0,0,0,0,0,0,0,0,0,5,0,1,1,0,2,0,2,0,0,0,0,0,0,3,3,3,1,0,0,4,0,0,0
c13415,7,5,6,7,22,0,8,8,1,3,0,0,0,0,0,0,5,6,7,11,3,2,0,1,0,8,5,2,6,4,24,8,0,0,0,4,0,3
c13416,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
c13417,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0
c13418,31,16,24,13,67,34,28,20,17,16,16,14,0,4,6,0,16,14,27,20,21,27,0,6,0,27,15,15,17,12,70,25,4,8,0,31,18,13
c13419,19,11,20,14,56,56,27,19,6,12,20,0,15,6,24,0,24,11,21,12,14,7,0,7,0,12,31,4,0,11,67,17,4,21,23,16,0,7
c13420,1,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,2,1,0,3,1,0,20,0,0,3,0,0,0,0,1,0,0,0,4,0,0,0
c13421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
