id,GM.25,GM.26,GM.27,GM.29,GM.30,GM.31,GM.33,GM.34,GM.37,GM.38,GM.39,LP.01,LP.02,LP.03,LP.04,LP.06,LP.07,LP.08,LP.09,PD.10,PD.11,PD.12,PD.13,PD.14,PD.15,PD.16,PD.21,PD.22,PD.23,PD.24,VD.51,VD.52,VD.53,VD.54,VD.55,VD.56,VD.57,VD.58
c36,161,136,155,188,408,320,167,139,81,184,182,74,0,142,141,11,136,107,209,75,167,124,59,95,75,167,270,142,114,100,549,149,170,351,157,189,272,194
c37,14,22,18,14,95,81,30,20,23,28,21,20,0,10,7,8,32,35,58,2,26,10,29,6,1,17,45,32,6,0,91,9,19,44,26,11,8,19
c38,16,11,22,3,31,27,18,16,18,18,10,7,0,9,7,0,10,7,20,3,6,13,0,6,0,4,27,8,12,10,33,16,0,11,0,23,0,27
c39,2,3,1,2,21,3,11,12,0,6,3,0,0,0,2,0,1,9,8,0,6,4,0,6,0,4,23,1,4,8,34,5,0,5,10,2,9,2
c40,10,25,33,8,37,0,30,17,6,10,27,12,0,18,10,3,25,4,8,25,40,1,0,10,0,12,6,8,9,5,18,12,31,21,9,3,36,21
c41,67,51,93,101,374,72,113,67,60,25,85,19,22,44,64,74,65,57,78,45,99,66,56,33,0,84,144,72,58,29,152,93,66,24,93,60,20,30
c42,126,49,33,27,287,349,79,50,38,89,69,66,0,8,144,4,93,76,166,17,49,80,18,38,0,33,60,21,55,35,291,68,9,194,55,59,238,69
c43,13,3,6,15,11,0,13,1,5,4,4,0,0,3,4,0,1,4,11,1,10,0,0,3,0,2,19,9,2,0,19,5,0,14,3,2,0,12
c44_fragment1,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
c44_fragment2,109,37,24,16,117,12,50,18,5,29,14,36,36,10,45,0,29,46,64,19,55,41,0,30,0,28,63,6,22,17,205,44,17,61,28,28,39,38
c45,20,13,9,3,36,68,7,9,6,4,6,0,0,2,22,0,8,9,20,4,13,3,0,2,0,0,7,6,10,16,42,5,0,39,13,9,16,9
c46,401,164,279,221,947,745,296,439,126,710,427,132,53,178,103,18,394,315,1039,49,143,197,55,183,1,275,384,161,160,238,1176,423,143,462,230,410,628,404
c47,8,11,8,9,19,76,22,9,9,14,12,0,0,7,12,1,17,3,9,5,6,9,35,0,0,14,14,21,15,2,40,9,5,67,35,11,0,5
c48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
c49,50,6,58,5,163,76,44,32,25,44,39,0,0,6,12,0,11,2,11,23,38,8,0,19,0,31,15,12,25,11,5,0,0,0,0,1,8,0
c50,1,1,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
c51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c52,15,10,8,1,23,6,12,6,0,11,2,0,0,2,4,0,4,15,18,3,11,8,0,5,0,0,3,5,3,6,31,14,6,28,7,6,32,16
c53_fragment1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c53_fragment2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
c54,85,79,75,75,190,101,63,103,42,141,94,18,0,37,66,13,109,59,169,24,30,47,0,62,0,93,96,81,49,72,251,73,40,165,88,113,160,74
c55,42,25,17,21,146,52,47,28,25,34,14,26,0,12,65,0,33,11,27,26,24,22,0,7,0,26,26,22,28,38,108,19,8,15,28,27,62,42
c56,449,153,136,67,754,267,292,143,84,231,71,38,14,71,172,0,130,228,403,81,236,167,0,203,96,136,290,104,83,127,996,336,56,389,93,184,546,267
c57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c58,0,0,5,0,3,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0,3,0,0,4,0,5,5,0,1,0,13,2,0,0,0,4,0,0
c59,32,16,15,23,68,83,14,24,22,23,30,12,0,14,30,15,33,14,24,6,22,3,0,11,0,19,33,17,9,19,57,24,18,50,27,31,71,20
c60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
c61,3,1,0,3,0,0,4,0,0,0,1,0,0,0,13,0,3,0,2,0,6,0,0,0,89,1,0,4,0,0,8,0,0,9,4,0,11,5
c62,1,2,0,0,3,0,5,5,0,2,1,0,0,0,0,0,0,1,4,5,6,0,0,2,0,0,6,0,2,0,14,0,0,0,0,4,13,3
c63,6,4,0,2,14,0,8,6,4,0,3,0,2,0,0,5,2,2,3,2,3,4,0,1,0,4,4,1,4,0,4,4,0,0,4,1,0,3
c64,5,0,7,2,5,0,3,7,1,3,1,0,0,0,4,0,1,4,4,1,3,8,0,0,0,0,0,3,4,0,13,2,0,20,0,3,0,3
c65,35,33,35,34,122,57,38,27,26,29,27,0,34,7,36,0,42,7,10,24,22,14,0,17,0,18,40,20,33,38,75,25,1,74,82,26,75,26
c66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
c67,17,24,27,27,76,100,28,48,17,43,25,23,0,14,21,25,49,25,49,12,10,16,0,11,0,30,39,18,27,12,93,32,7,67,45,49,59,15
c68,436,321,365,244,991,782,554,328,366,391,504,170,70,132,203,71,307,205,194,302,367,351,240,184,0,191,427,183,341,265,1207,372,116,534,125,256,650,285
c69,23,12,24,16,99,3,39,15,24,34,15,0,0,6,16,0,26,24,47,20,14,33,14,26,0,22,33,16,30,8,88,18,0,22,2,28,81,19
c70,28,18,43,30,57,4,58,26,16,39,26,0,0,8,18,14,19,17,19,31,41,20,0,33,2,9,40,25,38,39,100,13,0,46,10,13,43,10
c71,9,1,2,0,5,0,1,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,0,4,0,5,2,0,1,0,4,8,0
c72,53,49,45,66,167,67,81,70,51,87,50,0,70,45,32,1,61,61,118,42,66,62,0,33,0,61,84,36,57,32,254,78,16,91,58,70,70,48
c73,16,10,10,8,17,11,11,2,4,14,12,8,0,3,1,5,14,8,12,7,13,9,0,3,0,7,21,1,9,9,44,15,0,7,0,8,13,2
c74,2,0,0,0,5,0,9,0,0,2,2,0,0,0,2,0,2,2,3,1,1,0,0,0,0,0,4,3,2,0,11,1,0,6,0,0,0,0
c75,2,5,0,4,0,5,1,2,0,0,10,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,3,0,0,1,4,0,0,9,1,0,0
c76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
c77,21,18,24,13,39,31,27,25,3,11,23,7,0,14,47,2,17,32,38,30,39,22,60,27,0,21,56,25,33,40,106,28,0,37,39,13,25,3
c78,7,15,16,10,44,20,13,11,5,24,15,0,0,10,7,0,18,7,33,3,13,3,16,5,0,25,16,19,5,13,47,3,0,24,24,8,33,8
c79,4,6,13,3,24,0,2,6,4,3,5,0,0,0,5,0,5,3,2,3,1,3,0,2,0,1,0,4,0,6,8,3,0,8,3,2,0,0
c80,45,30,60,59,125,94,34,68,18,81,69,34,0,37,37,37,98,41,110,17,32,14,0,16,0,49,73,47,29,34,175,54,30,85,63,65,135,33
c81,6,4,2,3,21,38,7,10,2,1,7,0,0,0,0,0,3,5,9,3,3,7,0,2,0,5,1,2,0,1,17,12,34,0,0,9,10,6
c82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c83,1,2,4,0,12,0,0,1,3,1,1,0,0,0,0,0,3,2,0,1,1,5,0,0,0,4,0,6,0,0,13,0,0,2,0,0,0,6
c84,1,1,0,0,0,0,2,1,0,1,0,0,0,2,0,0,8,2,3,1,2,0,0,3,0,2,6,0,0,0,1,2,0,0,15,2,0,0
c85,4,6,13,13,24,34,11,9,8,19,24,0,0,9,12,7,28,7,30,2,2,10,0,7,0,21,23,4,5,3,31,7,5,11,28,17,74,8
c86,105,53,120,114,178,161,90,145,62,151,151,83,0,72,46,6,149,115,268,29,99,39,106,60,0,146,255,90,39,65,251,80,56,110,115,120,231,89
c87,5,2,2,0,2,21,6,3,1,8,2,0,0,1,0,0,2,2,10,6,0,1,0,0,0,0,5,1,2,2,17,4,9,9,1,6,0,2
c88,31,18,25,16,65,99,11,16,21,10,9,0,0,6,26,0,11,17,24,13,39,21,0,16,0,18,3,3,9,2,122,30,19,54,9,18,10,18
c89,32,4,11,1,44,0,18,11,9,11,0,21,0,4,9,0,8,12,39,6,13,12,0,3,0,8,10,14,34,9,45,22,0,10,0,9,0,21
c90,75,47,24,11,174,176,53,41,25,62,50,12,0,4,91,2,62,32,96,27,40,24,32,30,13,41,20,7,20,23,192,26,93,189,54,26,244,34
c91,23,14,10,5,36,59,11,13,3,8,14,0,0,7,7,4,10,5,21,1,6,9,0,4,0,1,32,2,4,6,45,18,4,27,19,27,6,13
c92,0,0,0,0,0,24,0,2,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3
c93,0,2,2,0,1,0,7,0,4,3,1,0,0,0,0,0,1,0,2,0,4,0,0,1,0,1,0,0,3,4,4,2,0,0,0,0,0,1
c94,10,4,0,1,4,0,0,0,1,1,1,0,0,0,4,0,4,0,1,0,10,1,0,2,0,9,1,2,1,0,0,1,0,0,0,0,13,1
c95,6,6,6,5,13,10,9,9,3,6,7,0,3,7,4,0,10,0,2,1,1,3,0,4,0,1,10,1,5,3,20,5,0,19,5,5,11,6
c96,5,3,10,3,3,0,5,2,4,1,5,0,0,3,1,0,4,1,2,2,3,3,0,2,0,0,5,10,4,0,18,2,0,5,0,5,26,8
c97,1194,1284,2431,1415,5598,4464,2548,1773,1471,2185,1278,2197,575,1785,2550,612,2038,2620,5384,2249,3068,4485,1279,2009,1413,4683,6582,3184,3551,1876,12610,1823,1819,4000,2009,1925,9278,1913
c98,51,17,34,5,61,34,43,21,14,40,43,27,0,15,12,5,19,19,35,8,6,7,0,18,0,5,16,16,4,28,46,19,26,41,0,40,17,21
c99,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
c100,14,22,12,16,61,13,29,13,18,16,16,8,33,6,3,8,10,11,12,19,16,14,0,8,0,3,13,19,15,7,37,5,0,40,10,13,16,6
c101,42,24,23,27,120,38,60,33,22,30,18,18,0,25,19,8,47,28,45,17,32,21,0,16,0,15,33,33,49,29,149,51,14,67,21,44,49,43
c102,250,69,67,29,257,119,97,52,22,68,29,0,0,18,48,6,55,68,162,30,108,80,0,71,0,46,72,30,31,67,346,148,33,174,28,78,112,122
c103,22,3,9,8,46,5,11,12,23,12,12,0,0,6,4,0,11,4,20,7,11,17,0,3,0,13,3,3,2,7,48,7,0,17,0,13,0,13
c104,46,19,15,6,84,0,16,15,9,16,10,49,0,9,17,0,10,28,66,10,23,10,0,14,0,20,19,12,6,7,130,35,19,73,2,16,14,26
c105,90,45,28,25,149,95,57,47,15,28,18,21,0,15,33,33,37,27,90,9,41,37,0,41,0,28,82,42,21,26,248,84,35,119,9,16,36,92
c106,47,43,49,44,126,82,70,61,37,31,54,0,0,18,32,9,59,19,26,30,50,77,0,35,0,45,76,24,61,43,295,63,30,96,52,45,120,60
c107,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0
